fear,害怕
d,d
peace,和平
forgot,忘了
force,力量
short,短的
normal,普通的
charlie,查理
present,展示
enjoy,享受
mike,麦克风
crime,犯罪
horse,马
ground,地面
american,美国人
count,数数
area,区域
charge,收费
honor,荣誉
lunch,午餐
miles,英里
radio,收音机
idiot,笨蛋
ball,球
surprise,惊喜
paper,纸
key,钥匙
boat,船
quickly,迅速地
gold,金子
bar,酒吧
fish,鱼
mark,标记
tom,汤姆
wearing,穿着
crying,哭泣
accident,事故
government,政府
eight,八
fell,跌倒
cover,覆盖
certain,肯定
interested,感兴趣的
deep,深的
star,星星
sea,海
agree,同意
problems,问题
detective,侦探
prison,监狱
major,主要的
stick,戳
offer,提供
difficult,难的
smart,聪明的
personal,个人的
record,记录
stopped,停止
hide,隐藏
whether,无论
bank,银行
trip,旅行
relax,放松
america,美国
public,民众
list,列表
afternoon,下午
brain,脑
fix,使固定
bastard,混蛋
proud,自豪的
tea,茶
service,服务
screaming,尖叫
forward,向前
angry,生气的
park,公园
soul,灵魂
fighting,斗争
peter,彼得
rich,富有的
agent,代理人
blow,吹
paul,保罗
dress,裙子
mary,玛丽
missed,错过
scene,场景
killing,杀人
standing,常设
saved,已保存
mm,毫米
respect,尊重
killer,杀手
ice,冰
mess,混乱
tough,艰难的
feels,感觉
church,教会
sad,伤心
cell,细胞
drunk,醉
share,分享
camera,相机
mm-hmm,毫米-嗯
within,之内
card,卡片
fly,飞
ben,本
girlfriend,女朋友
laugh,笑
smell,闻
broken,破碎的
mum,妈妈
honest,诚实的
often,经常
starting,开始
calls,呼叫
y,是
spent,花费
third,第三
english,英语
visit,访问
mama,妈妈
judge,法官
window,窗户
hungry,饥饿的
dare,敢
relationship,关系
moved,已搬
prove,证明
private,私人的
wall,墙
seat,座位
i-i,我-i
position,位置
lieutenant,中尉
realize,意识到
lt,lt
especially,尤其
machine,机器
walking,步行
art,艺术
pleasure,乐趣
bloody,血腥
college,大学
french,法语
involved,涉及
cry,哭
became,成为
lived,居住地
impossible,不可能的
obviously,明显地
neither,两者都不
accept,接受
boyfriend,男朋友
besides,除了
queen,女王
teacher,老师
cops,警察
sake,清酒
loves,爱
carry,携带
teach,教
apartment,公寓
upset,沮丧的
green,绿色的
la,拉
liked,喜欢
cute,可爱的
evil,邪恶的
professor,教授
contact,接触
joke,开玩笑
cop,警察
huge,巨大的
holy,圣
store,店铺
jail,监狱
likes,点赞
lawyer,律师
doubt,怀疑
continue,继续
appreciate,欣赏
cat,猫
shop,店铺
driving,驾驶
congratulations,恭喜！
wrote,写道
village,村庄
quit,辞职
field,场地
james,詹姆斯
wine,葡萄酒
decision,决定
south,南
sleeping,睡眠
slow,慢的
laughter,笑声
island,岛
glass,玻璃
beginning,开始
cash,现金
dying,垂死
hundred,百
whose,谁
difference,不同之处
plane,飞机
push,推
continues,继续
mmm,嗯
singing,歌唱
eating,吃
north,北
mrs,太太
tree,树
madam,女士
gift,礼物
truck,卡车
putting,推杆
bear,熊
board,木板
grab,抓住
beer,啤酒
stuck,卡住
magic,魔法
support,支持
rules,规则
grunts,咕哝声
partner,伙伴
reach,抵达
wind,风
colonel,上校
max,最大限度
immediately,立即地
seconds,秒
thousand,千
gives,给予
experience,经验
cheers,干杯
victim,受害者
upon,之上
computer,电脑
christ,基督
planet,行星
promised,承诺
bus,公共汽车
henry,亨利
dirty,肮脏的
search,搜索
staying,入住
dreams,梦境
arrest,逮捕
holding,保持
suddenly,突然
usually,通常
lots,很多
shoes,鞋
er,呃
jump,跳
rid,摆脱
yo,哟
knock,敲
owe,欠
harry,哈利
grow,生长
worst,最差
river,河
aunt,阿姨
patient,病人
kitchen,厨房
aah,啊
fat,胖的
passed,通过了
m,米
final,最终的
summer,夏天
bob,鲍勃
listening,聆听
escape,逃脱
everywhere,到处
moon,月亮
arms,武器
turns,转弯
address,地址
ow,现在
match,匹配
gasps,喘息
grand,盛大
yep,是的
shh,嘘
nervous,紧张的
de,德
choose,选择
themselves,他们自己
decide,决定
mate,伴侣
drinking,喝
press,按
bother,打扰
foot,脚
hadn,曾
blame,责备
crap,垃圾
drugs,药物
type,类型
rings,戒指
mission,使命
named,命名
heaven,天堂
‘ii,ii
picked,挑选
paris,巴黎
race,种族
risk,风险
books,图书
further,更远
danny,丹尼
action,行动
allowed,允许
orders,订单
learned,学习
price,价格
arrived,到达的
nick,缺口
otherwise,否则
pictures,图片
fit,合身
smoke,抽烟
favor,偏爱
played,玩
notice,注意
awesome,惊人的
smile,微笑
director,导演
guard,警卫
begin,开始
spot,点
surprised,惊讶
innocent,清白的
narrator,旁白
herself,她自己
london,伦敦
feelings,情怀
enemy,敌人
battle,战斗
ourselves,我们自己
alex,亚历克斯
dollars,美元
allow,允许
nine,九
gay,同性恋
department,部门
guilty,有罪的
apart,除
earlier,早些时候
duty,责任
jim,吉姆
suit,套装
bell,钟
west,西方
legs,腿
hero,英雄
destroy,破坏
stage,阶段
bunch,束
according,根据
chicken,鸡
bigger,大
grunting,哼哼
low,低的
helping,帮助
admit,承认
closed,关闭
names,姓名
witness,证人
upstairs,楼上
arm,手臂
steal,偷
jimmy,吉米
kick,踢
twice,两次
cross,叉
ways,方式
sergeant,军士
indeed,的确
gas,气体
keeping,保持
energy,活力
pregnant,孕
waste,浪费
helped,帮助
fired,被解雇
favorite,最喜欢的
tony,托尼
taste,品尝
locked,已锁定
places,地方
writing,写作
adam,亚当
brothers,兄弟
starts,开始
prince,王子
form,形式
sold,卖
silly,愚蠢的
mention,提到
build,建造
throat,喉
hole,洞
figured,想
track,追踪
ringing,铃声
lock,锁
leg,腿
above,多于
hiding,隐藏
steve,史蒂夫
seemed,似乎
breakfast,早餐
engine,引擎
written,书面
complete,完全的
video,视频
applause,掌声
however,然而
pressure,压力
fresh,新鲜的
weapon,武器
sky,天空
ms.,多发性硬化症。
stole,偷窃
study,学习
burn,烧伤
reading,阅读
crowd,人群
treat,对待
roll,卷
double,双倍的
spirit,精神
danger,危险
cost,成本
empty,空的
level,等级
memory,记忆
itself,本身
acting,表演
interest,兴趣
nose,鼻子
plans,计划
following,下列的
bathroom,浴室
built,建造
closer,更近
ray,射线
sarah,莎拉
band,乐队
groans,呻吟
apparently,显然
excited,兴奋的
richard,理查德
losing,输
animals,动物
flight,航班
nature,自然
raise,增加
pop,流行音乐
client,客户
bomb,炸弹
neck,脖子
suspect,怀疑
warm,温暖的
extra,额外的
bottle,瓶子
van,货车
heavy,重的
mommy,妈妈
dogs,狗
wild,荒野
ridiculous,荒谬的
simply,简单地
lee,李
animal,动物
showed,显示
billy,比利
shooting,射击
keeps,保持
camp,营
guns,枪支
medical,医疗的
shame,耻辱
hoping,希望
whom,谁
bird,鸟
majesty,威严
flowers,花朵
famous,著名的
asleep,睡着了
beauty,美丽
driver,司机
keys,钥匙
rain,雨
awful,可怕
large,大的
local,当地的
deserve,应得
goddamn,该死的
stone,石头
jane,简
grace,优雅
consider,考虑
weekend,周末
wondering,好奇
lay,躺
plenty,很多
willing,愿意的
pants,裤子
sweetheart,亲爱的
skin,皮肤
excellent,出色的
asshole,混蛋
beach,海滩
c,c
faith,信仰
beg,求
fuckin,操
responsible,负责任的
military,军队
cheering,欢呼
opportunity,机会
common,常见的
bottom,底部
german,德语
whoever,谁
cook,厨师
walked,步行
papers,文件
justice,正义
hall,大厅
commander,指挥官
drug,药品
main,主要的
knife,刀
devil,魔鬼
necessary,必要的
although,虽然
princess,公主
lights,灯
flying,飞行
dick,迪克
rose,玫瑰
knowing,会心
clearly,清楚地
hat,帽子
agreed,同意
johnny,约翰尼
corner,角落
code,代码
note,笔记
tommy,汤米
due,到期的
correct,正确的
apologize,道歉
language,语言
stars,明星
faster,快点
cars,汽车
folks,各位
bullshit,废话
i.,我。
fellow,同伴
several,一些
grandma,奶奶
shows,演出
leader,领导者
leaves,树叶
restaurant,餐厅
east,东方
shouting,喊叫
blind,瞎的
ghost,鬼
cup,杯子
gotten,获得
tight,紧的
conversation,对话
tells,讲述
lies,谎言
nor,也不
pulled,拉
hanging,绞刑
speed,速度
stories,故事
health,健康
advice,建议
held,握住
uh-huh,嗯哼
murdered,被谋杀
beyond,超过
rule,规则
hardly,几乎
possibly,可能
inspector,检查员
cousin,表哥
trial,审判
emergency,紧急情况
ought,应该
eddie,埃迪
somehow,不知何故
hearing,听力
states,各州
account,帐户
spoke,辐
file,文件
understood,理解
angel,天使
tape,磁带
milk,牛奶
powerful,强大的
weapons,武器
practice,实践
manager,经理
pardon,赦免
vote,投票
jake,杰克
national,国家的
career,职业
minister,部长
super,极好的
taught,教授
robert,罗伯特
biggest,最大
plays,玩
natural,自然的
dancing,跳舞
copy,复制
plus,加
martin,马丁
cake,蛋糕
freedom,自由
among,之中
breath,气息
operation,手术
chris,克里斯
crew,全体人员
challenge,挑战
market,市场
meat,肉
towards,向
bringing,带来
dropped,掉落
student,学生
lied,撒谎了
strength,力量
size,尺寸
breathe,呼吸
color,颜色
monster,怪物
loud,大声
photo,照片
aw,啊
nearly,几乎
sight,视线
greatest,最
games,游戏
bridge,桥
dressed,穿着
arrested,被捕
horrible,可怕
coach,教练
planning,规划
checked,已检查
breaking,打破
noticed,注意到
fantastic,极好的
screams,尖叫
serve,服务
ideas,想法
investigation,调查
center,中心
older,老
pack,盒
soldiers,士兵
nonsense,废话
doc,文档
project,项目
training,训练
example,例子
trick,诡计
prepared,准备
science,科学
united,团结的
travel,旅行
incredible,极好的
grandpa,爷爷
paying,付费
character,特点
teeth,牙齿
criminal,刑事
charles,查尔斯
chinese,中国人
truly,真的
honestly,诚实地
bro,兄弟
survive,存活
bobby,鲍比
target,目标
feed,喂养
nurse,护士
e,e
fake,伪造的
records,记录
breathing,呼吸
sweetie,亲爱的
numbers,数字
oil,油
suicide,自杀
belong,属于
whoo,哇哦
perfectly,完美
amy,艾米
forgotten,被遗忘的
remain,保持
original,原来的
papa,爸爸
onto,到
concerned,担心的
credit,信用
ugh,啊
invited,受邀
discuss,讨论
research,研究
easier,更轻松
view,看法
chair,椅子
hurts,疼痛
strike,罢工
roger,罗杰
fill,充满
condition,状况
mountain,山
dr,博士
nowhere,无处
sheriff,警长
kim,金
turning,转弯
brown,棕色的
recognize,认出
heads,头部
audience,观众
‘all,'全部
jealous,嫉妒的
pretend,假装
society,社会
finding,寻找
shirt,衬衫
comfortable,舒服的
meaning,意义
guest,客人
pieces,件
dry,干燥
letting,出租
began,开始
aye,是的
jeff,杰夫
female,女性
release,发布
ho,何
cards,牌
pray,祈祷
unfortunately,很遗憾
balls,球
destroyed,损毁
ended,结束
universe,宇宙
prepare,准备
opinion,观点
movies,电影
soldier,士兵
wash,洗
program,程序
heat,热
usual,通常
ticket,票
stolen,被盗
prefer,更喜欢
aware,意识到的
surely,一定
male,男性
base,根据
matters,事情
lift,举起
lab,实验室
command,命令
proof,证明
cream,奶油
selling,销售
believed,相信
create,创造
h,h
afford,买得起
sunday,星期日
total,全部的
dumb,哑的
threw,扔
france,法国
birth,出生
created,创建
realized,已实现
british,英国的
noise,噪音
nuts,坚果
students,学生
birds,鸟类
social,社会的
brilliant,杰出的
bodies,身体
tie,领带
opened,打开
ours,我们的
bucks,雄鹿
kevin,凯文
mister,先生
ugly,丑陋的
ryan,瑞安
focus,重点
dan,担
opens,打开
exist,存在
followed,随后
england,英格兰
draw,画
purpose,目的
letters,信件
daniel,丹尼尔
opening,开幕
bullet,子弹
anna,安娜
lately,最近
stayed,入住
falling,坠落
season,季节
ends,结束
suggest,建议
joy,喜悦
distance,距离
responsibility,责任
whenever,每当
issue,问题
thousands,数千
process,过程
sword,剑
shower,淋浴
weak,虚弱的
fucked,操
lonely,孤独
happiness,幸福
eric,埃里克
tiny,微小的
desk,桌子
pool,水池
property,财产
forced,强制
settle,定居
indistinct,模糊
weight,重量
received,已收到
gang,帮派
bite,咬
friday,星期五
disappeared,消失
interview,面试
expecting,期待
kinda,有点
surgery,外科手术
horses,马匹
mayor,市长
babe,宝贝
ancient,古老的
handsome,英俊的
thomas,托马斯
saturday,周六
staff,职员
lines,线条
unit,单元
fan,扇子
gentleman,绅士
introduce,介绍
fate,命运
split,分裂
recently,最近
expected,预期的
add,添加
ordered,订购
slowly,缓慢地
alarm,警报
member,成员
slept,睡着了
signed,签名
enter,进入
spanish,西班牙语
garden,花园
brings,带来
brave,勇敢的
pig,猪
model,模型
finger,手指
medicine,药品
access,使用权
failed,失败的
flat,平坦的
easily,容易地
discovered,发现
based,基于
screw,拧紧
insane,疯狂的
cares,关心
weather,天气
fingers,手指
san,圣
scott,斯科特
path,小路
soft,柔软的
harm,伤害
style,风格
community,社区
sees,看到
basically,基本上
al,al
signal,信号
nope,没有
spare,空闲的
speech,演讲
covered,涵盖
shake,摇
loose,松动的
snow,雪
russian,俄语
lake,湖
bright,明亮的
roof,屋顶
ohh,哦
sending,发送
paint,画
remind,提醒
pal,朋友
naked,裸
post,邮政
sugar,糖
heading,标题
streets,街道
damage,损害
silence,沉默
doors,门
pete,皮特
ed,编辑
success,成功
wet,湿的
nah,不
amount,数量
members,成员
kate,凯特
manage,管理
safety,安全
returned,返回
harder,更难
fbi,联邦调查局
block,堵塞
showing,显示
fancy,想要
chef,厨师
contract,合同
dig,挖
chest,胸部
goodbye,再见
drinks,饮料
dave,戴夫
buried,埋葬
brian,布莱恩
trade,贸易
journey,旅行
stomach,胃
changes,变化
details,细节
thoughts,想法
divorce,离婚
funeral,葬礼
maria,玛丽亚
football,足球
reality,现实
theory,理论
gosh,天哪
ruined,毁坏
gate,门
william,威廉
spread,传播
outta,出
japanese,日本人
sudden,突然
coat,外套
sooner,很快
cheese,奶酪
larry,拉里
spring,春天
page,页
ears,耳朵
simon,西蒙
castle,城堡
hidden,隐
storm,风暴
cos,化学
personally,亲自
artist,艺术家
hill,爬坡道
exciting,激动人心
permission,允许
jerry,杰瑞
expensive,昂贵的
tickets,门票
forest,森林
barely,仅仅
eggs,鸡蛋
goin,去
regret,后悔
lesson,课
lover,情人
bread,面包
andy,和
subject,主题
legal,合法的
growing,生长
ill,患病的
jason,杰森
mood,情绪
owner,所有者
caused,导致
beeping,哔哔声
points,积分
dating,约会
loss,损失
secretary,秘书
revenge,复仇
santa,圣诞老人
likely,可能
rent,租
connection,联系
assistant,助手
reasons,原因
yelling,大喊
painting,绘画
trees,树木
doctors,医生
rush,匆忙
foreign,外国的
rough,粗糙的
murderer,凶手
century,世纪
nights,夜晚
pair,一对
runs,跑步
pocket,口袋
farm,农场
matt,马特
bike,自行车
obvious,明显的
ate,吃
grew,生长
professional,专业的
tim,蒂姆
goodness,善良
parts,部分
alan,艾伦
university,大学
square,正方形
grandfather,祖父
europe,欧洲
genius,天才
cases,案例
ruin,废墟
winter,冬天
tongue,舌头
memories,回忆
da,达
buying,购买
cancer,癌症
clock,钟
ocean,海洋
dna,脱氧核糖核酸
liar,说谎者
tour,旅游
thief,贼
bleep,哔哔
lisa,丽莎
rights,权利
including,包括
competition,竞赛
smith,史密斯
planned,计划
emily,艾米丽
boring,无聊的
victims,受害者
mentioned,提及
bones,骨头
plant,植物
bless,保佑
warning,警告
knocking,敲门
re,关于
crash,碰撞
bedroom,卧室
lower,降低
silver,银
groaning,呻吟
madame,夫人
defense,防御
results,结果
toilet,洗手间
event,事件
complicated,复杂的
shape,形状
priest,牧师
royal,皇家
cheap,便宜的
romantic,浪漫的
downstairs,楼下
invite,邀请
fortune,财富
tears,眼泪
avoid,避免
reached,达到
higher,更高
familiar,熟悉的
telephone,电话
burning,燃烧
filled,已填
kelly,凯莉
alice,爱丽丝
airport,飞机场
jobs,工作
grown,生长
walter,沃尔特
rachel,瑞秋
giant,巨大的
insurance,保险
woods,树林
n,n
scare,吓
pleased,高兴
period,时期
political,政治的
player,玩家
stops,停止
secrets,秘密
laura,劳拉
repeat,重复
photos,照片
finds,发现
statement,陈述
suck,吸
younger,年轻
china,中国
humans,人类
delicious,可口的
particular,特别的
proper,恰当的
rome,罗马
belongs,属于
attacked,遭到攻击
bath,洗澡
hired,雇用
site,地点
knowledge,知识
b,b
led,引领
guests,客人
celebrate,庆祝
map,地图
horn,喇叭
eventually,最终
pity,遗憾
powers,权力
ashamed,羞愧
assume,认为
glasses,眼镜
rise,上升
fixed,固定的
request,要求
officers,警官
pounds,磅
data,数据
carefully,小心
per,每
depends,取决于
jury,陪审团
waited,等待
positive,积极的
attorney,律师
direction,方向
families,家庭
‘clock,'钟
doin,做
forces,力量
location,地点
walls,墙壁
useless,无用
grant,授予
saving,保存
speaks,说话
fought,战斗
meal,一顿饭
deliver,递送
answers,答案
changing,变化
temple,寺庙
scary,可怕的
millions,百万
offered,提供
regular,常规的
carrying,携带
official,官方的
jacket,夹克
switch,转变
grave,严重
chase,追赶
role,角色
odd,奇怪的
sexy,性感
faces,面孔
becomes,变成
closes,关闭
badly,糟糕
tall,高的
confused,使困惑
affair,事务
television,电视
shock,震惊
raised,提高
panting,喘息
pizza,比萨
image,图像
clears,清除
golden,金的
patients,患者
watched,观看
committed,坚定的
sexual,性
suffer,遭受
arthur,亚瑟
wherever,无论
plate,盘子
appear,出现
chocolate,巧克力
clever,聪明的
hm,嗯
mercy,怜悯
shots,镜头
lucy,露西
dealing,处理
trap,陷阱
charges,收费
phil,菲尔
bang,砰
poison,毒
butt,屁股
drove,驾驶
yourselves,你们自己
headed,标题
babies,婴儿
yellow,黄色的
soup,汤
mystery,神秘
picking,挑选
sat,卫星
wound,伤口
traffic,交通
