you,あなた
place,場所
ever,これまで
feel,感じる
guys,みんな
father,父親
guy,男
made,作った
old,古い
isn,ではない
which,どれの
big,大きい
lot,多く
done,終わり
hello,こんにちは
nice,ニース
believe,信じる
girl,女の子
someone,誰か
fine,大丈夫
thanks,ありがとう
wanted,指名手配
kind,親切
coming,来る
house,家
every,毎
ok,わかりました
through,を通して
being,いる
course,コース
stay,滞在する
left,左
dad,お父さん
enough,十分
happened,起こった
came,来た
may,5月
mother,母親
wrong,間違っている
world,世界
bad,悪い
might,かもしれない
three,三つ
today,今日
listen,聞く
another,別の
understand,理解する
hear,聞く
remember,覚えて
ask,聞く
own,自分の
same,同じ
show,見せる
else,それ以外
kill,殺す
talking,話している
found,見つかった
next,次
getting,取得
care,ケア
car,車
looking,探しています
son,息子
try,試す
woman,女性
went,行った
hi,こんにちは
dead,死んだ
many,多くの
mind,心
wasn,ではなかった
friend,友人
best,最高
mom,お母さん
hell,地獄
morning,朝
trying,試している
boy,男の子
together,一緒に
yourself,あなた自身
job,仕事
saw,見た
family,家族
real,本物
without,それなし
baby,赤ちゃん
room,部屋
wouldn,しないだろう
already,すでに
move,動く
most,ほとんど
seen,見た
live,ライブ
miss,逃す
actually,実は
huh,はぁ
shit,クソ
both,両方
heard,聞いた
once,一度
ready,準備ができて
head,頭
called,呼ばれる
used,使用済み
idea,アイデア
knew,知っていた
hold,所有
happy,ハッピー
door,ドア
such,そのような
fuck,くそ
brother,兄弟
also,また
pretty,かわいい
bit,少し
took,取った
haven,避難所
yet,まだ
men,男性
whole,全体
start,始める
use,使用
while,その間
since,以来
wife,妻
days,日
guess,推測
tomorrow,明日
matter,案件
meet,会う
bring,持ってくる
tonight,今夜
everyone,みんな
run,走る
wanna,欲しい
hard,難しい
ah,ああ
alone,一人で
myself,自分自身
school,学校
gone,消えた
um,えっと
end,終わり
saying,言う
phone,電話
play,遊ぶ
looks,見た目
couldn,できなかった
fucking,クソッ
problem,問題
few,少し
friends,友達
gotta,しなければならない
ago,前
open,開ける
anyone,誰でも
killed,殺害
hope,希望
face,顔
until,それまで
lost,失った
police,警察
excuse,言い訳
turn,振り向く
business,仕事
case,場合
wants,欲しい
says,言う
true,真実
die,死ぬ
heart,心臓
soon,すぐ
each,それぞれ
worry,心配
later,後で
year,年
watch,時計
music,音楽
hand,手
having,持っている
probably,おそらく
beautiful,美しい
doctor,医者
sit,座る
eat,食べる
thinking,考え
young,若い
second,2番
working,働く
water,水
person,人
part,一部
kids,子供
late,遅い
stuff,もの
exactly,その通り
under,下
death,死
minute,分
pay,支払う
crazy,クレイジー
forget,忘れる
everybody,みんな
kid,子供
change,変化
gave,与えた
happen,起こる
damn,くそ
five,五
drink,飲む
far,遠い
knows,知っている
its,その
whatever,何でも
eyes,目
shut,シャット
aren,ない
hit,打つ
taking,取
easy,簡単
times,タイムズ
check,チェック
hands,手
minutes,分
deal,取引
different,違う
means,手段
point,ポイント
inside,内部
makes,作る
asked,尋ねた
somebody,誰か
mine,私の
making,作る
body,体
afraid,恐れている
sleep,寝る
chance,チャンス
dear,親愛なる
quite,とても
four,4
anyway,ともかく
close,近い
ain,ナイン
party,パーティー
fun,楽しい
against,に対して
word,言葉
comes,来る
important,重要
set,セット
shall,シャル
story,話
number,番号
daughter,娘
least,少しでも
waiting,待っている
hurt,傷つく
wish,願い
moment,一瞬
fight,戦い
week,週
husband,夫
girls,女の子
rest,休む
married,既婚
fire,火
game,ゲーム
nobody,誰でもない
mr,氏
children,子供たち
side,側
stand,立つ
read,読む
though,けれど
cut,カット
started,開始
sister,妹
supposed,想定
between,間
child,子供
goes,行く
hours,営業時間
speak,話す
women,女性
behind,後ろに
almost,ほとんど
truth,真実
blood,血
able,できる
lady,レディ
anymore,もう
playing,再生中
gets,手に入れる
shot,ショット
reason,理由
trouble,トラブル
break,壊す
war,戦争
city,市
walk,歩く
town,町
trust,信頼
dr.,博士
met,会った
office,オフィス
question,質問
brought,持ってくる
yours,あなたの
welcome,いらっしゃいませ
high,高い
wow,おお
couple,カップル
half,半分
died,亡くなった
cool,いいね
free,無料
either,どちらか
seems,どうやら
power,力
whoa,うわぁ
bye,さよなら
buy,買う
telling,語る
honey,ハニー
tried,試してみた
front,フロント
team,チーム
answer,答え
gun,銃
boys,男の子
line,ライン
send,送信
news,ニュース
stupid,バカ
bed,ベッド
hurry,急いで
full,満杯
months,数ヶ月
save,保存
sometimes,時々
become,なる
along,平行
hate,嫌い
food,食べ物
outside,外
light,ライト
l,l
needs,ニーズ
dog,犬
country,国
clear,クリア
order,注文
em,え
fact,事実
lord,主
captain,キャプテン
six,六
hot,熱い
funny,面白い
black,黒
mrs.,夫人。
alive,生きている
pick,選ぶ
feeling,フィーリング
living,リビング
cause,原因
ahead,先に
lose,失う
king,王
plan,プラン
dinner,夕食
sighs,ため息
sort,選別
leaving,出発
shouldn,すべきではない
running,ランニング
boss,ボス
alright,大丈夫
promise,約束
taken,撮影済み
safe,安全
ma,ま
book,本
sent,送信済み
white,白
hour,時間
anybody,誰でも
small,小さい
perfect,完璧
‘cause,'原因
lives,生活
special,特別
parents,両親
s,s
john,ジョン
himself,彼自身
perhaps,多分
sounds,音
serious,深刻な
sick,病気
company,会社
ha,は
scared,怖がった
uncle,叔父
poor,貧しい
red,赤
past,過去
earth,地球
possible,可能
shoot,シュート
touch,触る
sound,音
top,トップ
ass,お尻
laughs,笑う
cannot,できません
asking,質問
win,勝つ
glad,嬉しい
control,コントロール
hmm,ふーむ
human,人間
drive,ドライブ
hair,髪
jack,ジャック
bitch,ビッチ
luck,運
murder,殺人
happens,起こる
air,空気
ten,10
daddy,お父ちゃん
finally,ついに
chuckles,クスクス笑う
fast,速い
cold,寒い
seem,思われる
laughing,笑い
words,言葉
hospital,病院
street,通り
hang,下がる
dance,ダンス
meeting,ミーティング
till,まで
others,その他
catch,キャッチ
follow,フォローする
sense,センス
sex,セックス
lie,嘘
evening,夕方
master,マスター
known,知られている
dream,夢
write,書く
million,百万
voice,声
sweet,甘い
rather,それよりも
felt,感じた
sign,サイン
lucky,ラッキー
somewhere,どこかで
bet,ベット
o,o
jesus,イエス
longer,より長く
calling,通話中
worked,働いた
quiet,静かな
looked,見た
less,少ない
pull,引く
beat,ビート
careful,注意深い
coffee,コーヒー
return,戻る
secret,秘密
weeks,週
weren,であった
date,日付
seeing,見る
fall,秋
given,与えられた
ooh,おお
fault,故障
straight,真っ直ぐ
takes,取る
song,歌
future,未来
gentlemen,紳士諸君
loved,愛
changed,変更しました
road,道
calm,落ち着いた
wonderful,素晴らしい
mad,狂った
turned,回転
drop,落とす
ladies,女性
learn,学ぶ
step,ステップ
absolutely,絶対に
early,早い
explain,説明する
clean,クリーン
piece,ピース
yesterday,昨日
throw,投げる
picture,写真
land,土地
feet,足
wonder,不思議
questions,質問
speaking,話し中
worth,価値
darling,ダーリン
dude,お前
giving,贈る
president,社長
eye,目
quick,素早い
moving,引っ越し
figure,形
state,州
strong,強い
sam,サム
none,なし
amazing,すばらしい
ones,1つ
works,作品
act,活動
needed,必要
weird,奇妙な
law,法
worried,心配した
report,報告
goodbye,さようなら
missing,ない
choice,選択
happening,ハプニング
chief,チーフ
wedding,結婚式
strange,奇妙な
general,一般的な
pain,痛み
‘am,'午前
kidding,冗談だよ
decided,決めた
ya,やあ
pass,合格
tired,疲れた
class,クラス
officer,役員
kept,保たれた
wake,目覚める
worse,悪い
busy,忙しい
eh,えー
mistake,間違い
kiss,キス
court,裁判所
building,建物
finish,仕上げる
during,その間
age,年
ship,船
caught,つかまった
marry,結婚する
meant,意味
sell,売る
dark,暗い
watching,視聴中
system,システム
suppose,仮定する
evidence,証拠
movie,映画
ride,乗る
t,t
completely,完全に
mouth,口
totally,完全に
birthday,誕生日
tv,テレビ
forgive,許す
born,生まれる
imagine,想像する
information,情報
instead,その代わり
definitely,絶対に
security,安全
certainly,確かに
film,膜
month,月
lying,嘘をつく
unless,ない限り
train,電車
seven,セブン
wear,着る
clothes,服
michael,マイケル
hotel,ホテル
christmas,クリスマス
attack,攻撃
hasn,ない
round,ラウンド
expect,期待する
sing,歌う
terrible,ひどい
george,ジョージ
bag,バッグ
history,歴史
blue,青
near,近く
broke,壊れた
station,駅
seriously,真剣に
forever,永遠に
david,デビッド
frank,フランク
except,を除外する
thinks,考える
message,メッセージ
entire,全体
joe,ジョー
table,テーブル
talked,話した
across,横切って
rock,ロック
lovely,素敵な
handle,ハンドル
middle,真ん中
buddy,相棒
paid,支払い済み
protect,守る
using,使用
floor,床
ran,走った
swear,誓う
spend,過ごす
situation,状況
ring,指輪
anywhere,どこでも
dangerous,危険な
bill,請求書
york,ヨーク
army,軍
lead,鉛
bought,買った
finished,終了した
fair,公平
sun,太陽
letter,手紙
fool,バカ
attention,注意
club,クラブ
simple,単純
interesting,面白い
space,空間
test,テスト
box,箱
group,グループ
single,シングル
sitting,座っている
marriage,結婚
join,参加する
fear,恐れ
d,d
peace,平和
forgot,忘れた
force,力
short,短い
normal,普通
charlie,チャーリー
present,現在
enjoy,楽しむ
mike,マイク
crime,犯罪
horse,馬
ground,地面
american,アメリカ人
count,カウント
area,エリア
charge,充電
honor,名誉
lunch,ランチ
miles,マイル
radio,無線
idiot,ばか
ball,ボール
surprise,驚き
paper,紙
key,鍵
boat,ボート
quickly,素早く
gold,金
bar,バー
fish,魚
mark,マーク
tom,トム
wearing,着用
crying,泣いている
accident,事故
government,政府
eight,八
fell,落ちた
cover,カバー
certain,ある
interested,興味がある
deep,深い
star,星
sea,海
agree,同意する
problems,問題
detective,探偵
prison,刑務所
major,選考科目
stick,スティック
offer,オファー
difficult,難しい
smart,頭いい
personal,個人的
record,記録
stopped,停止
hide,隠れる
whether,かどうか
bank,銀行
trip,旅行
relax,リラックス
america,アメリカ
public,公共
list,リスト
afternoon,午後
brain,脳
fix,修理
bastard,ろくでなし
proud,誇りに思う
tea,お茶
service,サービス
screaming,叫び声
forward,フォワード
angry,怒り
park,公園
soul,魂
fighting,ファインティング
peter,ピーター
rich,リッチ
agent,エージェント
blow,吹く
paul,ポール
dress,ドレス
mary,メアリー
missed,見逃した
scene,シーン
killing,殺害
standing,立っている
saved,保存済み
mm,mm
respect,尊敬
killer,キラー
ice,氷
mess,混乱
tough,厳しい
feels,感じる
church,教会
sad,悲しい
cell,細胞
drunk,酔っ払い
share,共有
camera,カメラ
mm-hmm,うんうん
within,内で
card,カード
fly,飛ぶ
ben,ベン
girlfriend,彼女
laugh,笑う
smell,匂い
broken,壊れた
mum,お母さん
honest,正直
often,頻繁
starting,起動
calls,電話
y,y
spent,過ごした
third,三番目
english,英語
visit,訪問
mama,ママ
judge,裁判官
window,ウィンドウ
hungry,お腹がすいた
dare,あえて
relationship,関係
moved,移動しました
prove,証明する
private,プライベート
wall,壁
seat,シート
i-i,い、い
position,位置
lieutenant,中尉
realize,気づく
lt,lt
especially,特に
machine,機械
walking,ウォーキング
art,美術
pleasure,喜び
bloody,血まみれ
college,カレッジ
french,フランス語
involved,関与した
cry,泣く
became,になった
lived,住んでいた
impossible,不可能
obviously,明らかに
neither,どちらでもない
accept,受け入れる
boyfriend,彼氏
besides,その上
queen,女王
teacher,教師
cops,警官
sake,酒
loves,愛する
carry,運ぶ
teach,教える
apartment,アパート
upset,動揺
green,緑
la,は
liked,いいね
cute,かわいい
evil,悪
professor,教授
contact,接触
joke,ジョーク
cop,警官
huge,巨大な
holy,聖なる
store,店
jail,刑務所
likes,いいね
lawyer,弁護士
doubt,疑い
continue,続く
appreciate,感謝する
cat,猫
shop,店
driving,運転
congratulations,おめでとう
wrote,書いた
village,村
quit,やめる
field,分野
james,ジェームズ
wine,ワイン
decision,決断
south,南
sleeping,睡眠
slow,遅い
laughter,笑い
island,島
glass,ガラス
beginning,始まり
cash,現金
dying,死にゆく
hundred,百
whose,だれの
difference,違い
plane,飛行機
push,押す
continues,続く
mmm,うーん
singing,歌
eating,食べる
north,北
mrs,夫人
tree,木
madam,マダム
gift,贈り物
truck,トラック
putting,パッティング
bear,クマ
board,ボード
grab,掴む
beer,ビール
stuck,立ち往生
magic,魔法
support,サポート
rules,ルール
grunts,うなり声
partner,パートナー
reach,到着
wind,風
colonel,大佐
max,最大
immediately,すぐに
seconds,秒
thousand,千
gives,与える
experience,経験
cheers,乾杯
victim,被害者
upon,その上
computer,コンピューター
christ,キリスト
planet,惑星
promised,約束した
bus,バス
henry,ヘンリー
dirty,汚い
search,検索
staying,滞在
dreams,夢
arrest,逮捕
holding,保持
suddenly,突然
usually,いつもの
lots,たくさん
shoes,靴
er,er
jump,ジャンプ
rid,取り除く
yo,よぉ
knock,ノック
owe,借りている
harry,ハリー
grow,育つ
worst,最悪
river,川
aunt,叔母
patient,忍耐強い
kitchen,台所
aah,ああ
fat,脂肪
passed,合格した
m,m
final,ファイナル
summer,夏
bob,ボブ
listening,リスニング
escape,逃げる
everywhere,どこでも
moon,月
arms,武器
turns,ターン
address,住所
ow,今
match,マッチ
gasps,息を呑む
grand,グランド
yep,うん
shh,シーッ
nervous,神経質
de,で
choose,選ぶ
themselves,彼ら自身
decide,決める
mate,メイト
drinking,飲酒
press,プレス
bother,わざわざ
foot,足
hadn,持っていなかった
blame,非難
crap,クソ
drugs,薬物
type,タイプ
rings,指輪
mission,ミッション
named,名前
heaven,天国
‘ii,‘ii
picked,選んだ
paris,パリ
race,人種
risk,リスク
books,本
further,さらに遠く
danny,ダニー
action,アクション
allowed,許可された
orders,注文
learned,学んだ
price,価格
arrived,到着した
nick,ニック
otherwise,さもないと
pictures,写真
fit,フィット
smoke,煙
favor,好む
played,プレイ
notice,知らせ
awesome,素晴らしい
smile,笑顔
director,監督
guard,ガード
begin,始める
spot,スポット
surprised,驚いた
innocent,無実の
narrator,ナレーター
herself,彼女自身
london,ロンドン
feelings,感情
enemy,敵
battle,戦い
ourselves,私たち自身
alex,アレックス
dollars,ドル
allow,許可する
nine,九
gay,ゲイ
department,部門
guilty,有罪
apart,離れて
earlier,以前
duty,義務
jim,ジム
suit,スーツ
bell,ベル
west,西
legs,脚
hero,ヒーロー
destroy,破壊する
stage,ステージ
bunch,束
according,によると
chicken,チキン
bigger,大きい
grunting,うなり声
low,低い
helping,手助け
admit,認める
closed,閉店
names,名前
witness,目撃者
upstairs,2階
arm,アーム
steal,窃盗
jimmy,ジミー
kick,キック
twice,2回
cross,クロス
ways,方法
sergeant,軍曹
indeed,確かに
gas,ガス
keeping,保つ
energy,エネルギー
pregnant,妊娠中
waste,無駄
helped,助けた
fired,解雇された
favorite,お気に入り
tony,トニー
taste,味
locked,ロック済み
places,場所
writing,書き込み
adam,アダム
brothers,ブラザーズ
starts,開始
prince,王子
form,形状
sold,販売済み
silly,馬鹿な
mention,言及
build,建てる
throat,喉
hole,穴
figured,考えた
track,追跡
ringing,鳴り響く
lock,ロック
leg,脚
above,その上
hiding,隠蔽
steve,スティーブ
seemed,のようだった
breakfast,朝食
engine,エンジン
written,書かれた
complete,完了
video,ビデオ
applause,拍手
however,しかし
pressure,プレッシャー
fresh,新鮮な
weapon,武器
sky,空
ms.,MS。
stole,ストール
study,勉強
burn,やけど
reading,読む
crowd,群衆
treat,扱う
roll,ロール
double,ダブル
spirit,精神
danger,危険
cost,料金
empty,空の
level,レベル
memory,メモリ
itself,自体
acting,演技
interest,興味
nose,鼻
plans,予定
following,続く
bathroom,バスルーム
built,建設済み
closer,もっと近く
ray,レイ
sarah,サラ
band,バンド
groans,うめき声
apparently,どうやら
excited,興奮した
richard,リチャード
losing,負け
animals,動物
flight,フライト
nature,自然
raise,上げる
pop,ポップ
client,クライアント
bomb,爆弾
neck,ネック
suspect,容疑者
warm,暖かい
extra,余分な
bottle,ボトル
van,バン
heavy,重い
mommy,ママ
dogs,犬
wild,野生
ridiculous,ばかげている
simply,単に
lee,リー
animal,動物
showed,表示
billy,ビリー
shooting,射撃
keeps,保つ
camp,キャンプ
guns,銃
medical,医学
shame,恥
hoping,希望
whom,誰
bird,鳥
majesty,陛下
flowers,花
famous,有名な
asleep,眠っている
beauty,美しさ
driver,ドライバ
keys,キー
rain,雨
awful,ひどい
large,大きい
local,地元
deserve,値する
goddamn,ちくしょう
stone,石
jane,ジェーン
grace,グレース
consider,考慮する
weekend,週末
wondering,疑問に思う
lay,横たわる
plenty,多くの
willing,喜んで
pants,パンツ
sweetheart,恋人
skin,肌
excellent,素晴らしい
asshole,下衆野郎
beach,ビーチ
c,c
faith,信仰
beg,懇願する
fuckin,クソッ
responsible,責任者
military,軍隊
cheering,応援
opportunity,機会
common,一般
bottom,底
german,ドイツ語
whoever,誰でも
cook,料理する
walked,歩いた
papers,論文
justice,正義
hall,ホール
commander,司令官
drug,薬
main,主要
knife,ナイフ
devil,悪魔
necessary,必要
although,それでも
princess,お姫様
lights,ライト
flying,フライング
dick,ディック
rose,薔薇
knowing,知っている
clearly,明らかに
hat,帽子
agreed,同意しました
johnny,ジョニー
corner,コーナー
code,コード
note,注記
tommy,トミー
due,期限
correct,正しい
apologize,謝る
language,言語
stars,星
faster,もっと早く
cars,車
folks,皆さん
bullshit,でたらめだ
i.,私。
fellow,仲間
several,いくつかの
grandma,おばあちゃん
shows,ショー
leader,リーダー
leaves,葉
restaurant,レストラン
east,東
shouting,叫ぶ
blind,盲目
ghost,おばけ
cup,カップ
gotten,手に入れた
tight,きつい
conversation,会話
tells,伝える
lies,嘘
nor,または
pulled,引っ張った
hanging,吊り下げ
speed,スピード
stories,物語
health,健康
advice,アドバイス
held,開催
uh-huh,うんうん
murdered,殺害された
beyond,超えて
rule,ルール
hardly,しそうにない
possibly,おそらく
inspector,検査官
cousin,いとこ
trial,トライアル
emergency,緊急
ought,すべき
eddie,エディ
somehow,どうにか
hearing,聴覚
states,州
account,アカウント
spoke,スポーク
file,ファイル
understood,理解した
angel,天使
tape,テープ
milk,牛乳
powerful,強力な
weapons,兵器
practice,練習する
manager,マネージャー
pardon,許し
vote,投票する
jake,ジェイク
national,全国
career,キャリア
minister,大臣
super,素晴らしい
taught,教えた
robert,ロバート
biggest,最大
plays,プレイ
natural,自然
dancing,ダンシング
copy,コピー
plus,プラス
martin,マーティン
cake,ケーキ
freedom,自由
among,の間で
breath,呼吸
operation,手術
chris,クリス
crew,クルー
challenge,チャレンジ
market,市場
meat,肉
towards,に向かって
bringing,もたらす
dropped,ドロップ
student,学生
lied,嘘をついた
strength,強さ
size,サイズ
breathe,息をする
color,色
monster,モンスター
loud,うるさい
photo,写真
aw,ああ
nearly,ほぼ
sight,視力
greatest,最大
games,ゲーム
bridge,橋
dressed,服を着た
arrested,逮捕された
horrible,最悪
coach,コーチ
planning,計画
checked,チェック済み
breaking,速報
noticed,気づいた
fantastic,素晴らしい
screams,叫び声
serve,仕える
ideas,アイデア
investigation,調査
center,中心
older,年配の方
pack,パック
soldiers,兵士たち
nonsense,ナンセンス
doc,ドキュメント
project,プロジェクト
training,トレーニング
example,例
trick,トリック
prepared,準備した
science,科学
united,ユナイテッド
travel,旅行
incredible,信じられない
grandpa,おじいちゃん
paying,支払い
character,キャラクター
teeth,歯
criminal,犯罪的
charles,チャールズ
chinese,中国
truly,本当に
honestly,正直に
bro,兄弟
survive,生き残る
bobby,ボビー
target,ターゲット
feed,餌
nurse,看護師
e,e
fake,偽物
records,記録
breathing,呼吸
sweetie,スウィーティー
numbers,数字
oil,油
suicide,自殺
belong,属する
whoo,うわぁ
perfectly,完璧に
amy,エイミー
forgotten,忘れ去られた
remain,残る
original,オリジナル
papa,パパ
onto,に
concerned,心配している
credit,クレジット
ugh,うーん
invited,招待された
discuss,話し合う
research,研究
easier,より簡単に
view,ビュー
chair,椅子
hurts,痛い
strike,ストライク
roger,ロジャー
fill,埋める
condition,状態
mountain,山
dr,博士
nowhere,どこにもない
sheriff,シェリフ
kim,キム
turning,旋回
brown,茶色
recognize,認識する
heads,頭
audience,観客
‘all,'全て
jealous,嫉妬深い
pretend,演じる
society,社会
finding,発見
shirt,シャツ
comfortable,快適
meaning,意味
guest,ゲスト
pieces,ピース
dry,ドライ
letting,賃貸
began,始まった
aye,はい
jeff,ジェフ
female,女性
release,リリース
ho,ホー
cards,カード
pray,祈る
unfortunately,残念ながら
balls,ボール
destroyed,破壊された
ended,終了
universe,宇宙
prepare,準備する
opinion,意見
movies,映画
soldier,兵士
wash,洗う
program,プログラム
heat,熱
usual,いつもの
ticket,チケット
stolen,盗まれた
prefer,好む
aware,わかっている
surely,きっと
male,男
base,ベース
matters,問題
lift,リフト
lab,研究室
command,指示
proof,証拠
cream,クリーム
selling,販売
believed,信じていた
create,作成する
h,h
afford,余裕ある
sunday,日曜日
total,合計
dumb,バカ
threw,投げた
france,フランス
birth,誕生
created,作成済み
realized,気がついた
british,イギリス
noise,ノイズ
nuts,ナッツ
students,学生
birds,鳥
social,社交
brilliant,素晴らしい
bodies,遺体
tie,ネクタイ
opened,オープン
ours,私たちの
bucks,バックス
kevin,ケビン
mister,ミスター
ugly,醜い
ryan,ライアン
focus,集中
dan,ダン
opens,開く
exist,存在する
followed,フォロー
england,イングランド
draw,描く
purpose,目的
letters,手紙
daniel,ダニエル
opening,オープン
bullet,弾丸
anna,アンナ
lately,最近
stayed,滞在
falling,落下
season,季節
ends,終了
suggest,提案する
joy,喜び
distance,距離
responsibility,責任
whenever,いつでも
issue,問題
thousands,数千
process,プロセス
sword,剣
shower,シャワー
weak,弱い
fucked,クソッ
lonely,さみしい
happiness,幸せ
eric,エリック
tiny,小さい
desk,机
pool,プール
property,財産
forced,強制
settle,解決する
indistinct,不明瞭
weight,重さ
received,受け取った
gang,ギャング
bite,噛む
friday,金曜日
disappeared,消えた
interview,インタビュー
expecting,期待して
kinda,まあ、そんな感じ
surgery,手術
horses,馬
mayor,市長
babe,ベイビー
ancient,古代
handsome,ハンサム
thomas,トーマス
saturday,土曜日
staff,スタッフ
lines,線
unit,ユニット
fan,ファン
gentleman,紳士
introduce,導入
fate,運命
split,スプリット
recently,最近
expected,期待される
add,追加
ordered,注文しました
slowly,ゆっくり
alarm,アラーム
member,メンバー
slept,眠った
signed,署名済み
enter,入力
spanish,スペイン語
garden,庭
brings,もたらす
brave,勇敢な
pig,豚
model,モデル
finger,指
medicine,薬
access,アクセス
failed,失敗した
flat,フラット
easily,簡単に
discovered,発見した
based,ベース
screw,スクリュー
insane,非常識な
cares,気遣う
weather,天気
fingers,指
san,サン
scott,スコット
path,パス
soft,柔らかい
harm,危害
style,スタイル
community,コミュニティ
sees,見る
basically,基本的に
al,アル
signal,信号
nope,いいえ
spare,スペア
speech,スピーチ
covered,カバー
shake,振る
loose,ゆるい
snow,雪
russian,ロシア
lake,湖
bright,明るい
roof,屋根
ohh,ああ
sending,送信中
paint,ペイント
remind,思い出させる
pal,パル
naked,裸
post,役職
sugar,砂糖
heading,見出し
streets,通り
damage,ダメージ
silence,沈黙
doors,ドア
pete,ピート
ed,ed
success,成功
wet,濡れた
nah,いや
amount,額
members,メンバー
kate,ケイト
manage,管理
safety,安全性
returned,戻った
harder,もっと強く
fbi,FBI
block,ブロック
showing,表示中
fancy,ファンシー
chef,シェフ
contract,契約
dig,掘る
chest,胸
goodbye,さようなら
drinks,ドリンク
dave,デイブ
buried,埋められた
brian,ブライアン
trade,貿易
journey,旅
stomach,胃
changes,変更
details,詳細
thoughts,考え
divorce,離婚
funeral,葬儀
maria,マリア
football,フットボール
reality,現実
theory,理論
gosh,ああ
ruined,台無しになった
gate,ゲート
william,ウィリアム
spread,広める
outta,アウト
japanese,日本語
sudden,突然
coat,コート
sooner,より早く
cheese,チーズ
larry,ラリー
spring,春
page,ページ
ears,耳
simon,サイモン
castle,城
hidden,隠れた
storm,嵐
cos,コス
personally,個人的に
artist,アーティスト
hill,丘
exciting,エキサイティング
permission,許可
jerry,ジェリー
expensive,高い
tickets,チケット
forest,森
barely,かろうじて
eggs,卵
goin,入る
regret,後悔
lesson,レッスン
lover,愛人
bread,パン
andy,アンディ
subject,主題
legal,法律上の
growing,成長
ill,病気
jason,ジェイソン
mood,気分
owner,所有者
caused,原因
beeping,ビープ音
points,ポイント
dating,デート
loss,損失
secretary,秘書
revenge,復讐
santa,サンタ
likely,おそらく
rent,家賃
connection,繋がり
assistant,アシスタント
reasons,理由
yelling,叫ぶ
painting,絵画
trees,木
doctors,医師
rush,急ぐ
foreign,外国
rough,粗い
murderer,殺人者
century,世紀
nights,夜
pair,ペア
runs,走る
pocket,ポケット
farm,農場
matt,マット
bike,自転車
obvious,明らか
ate,食べた
grew,成長した
professional,プロ
tim,ティム
goodness,善良さ
parts,部品
alan,アラン
university,大学
square,四角
grandfather,祖父
europe,ヨーロッパ
genius,天才
cases,ケース
ruin,台無しにする
winter,冬
tongue,舌
memories,思い出
da,da
buying,購入
cancer,癌
clock,クロック
ocean,海
dna,DNA
liar,嘘つき
tour,ツアー
thief,泥棒
bleep,ピー
lisa,リサ
rights,権利
including,含む
competition,競争
smith,スミス
planned,計画済み
emily,エミリー
boring,つまらない
victims,被害者
mentioned,言及された
bones,骨
plant,植物
bless,祝福あれ
warning,警告
knocking,ノッキング
re,再
crash,クラッシュ
bedroom,寝室
lower,より低い
silver,銀
groaning,うめき声
madame,マダム
defense,防衛
results,結果
toilet,トイレ
event,イベント
complicated,複雑
shape,形
priest,祭司
royal,ロイヤル
cheap,安い
romantic,ロマンチック
downstairs,階下
invite,招待する
fortune,運
tears,涙
avoid,避ける
reached,到達しました
higher,より高い
familiar,おなじみ
telephone,電話
burning,燃焼
filled,埋められた
kelly,ケリー
alice,アリス
airport,空港
jobs,求人
grown,成長した
walter,ウォルター
rachel,レイチェル
giant,巨大
insurance,保険
woods,森
n,n
scare,恐怖
